694,439,60
678,311,46.7
745,225,20
648,285,14.5
677,231,12.5
610,300,15.7
658,191,24
649,249,13.2
562,295,12.5
618,206,19.5
581,178,7
496,196,13
656,204,24
517,209,20
621,267,15.5
522,253,13.8
566,313,13.8
468,253,15.7
630,453,43.8
416,252,43.1
564,446,42.4
498,414,11.5
411,305,24
372,315,6.5
473,418,22
487,487,16.4
416,525,11.5
428,423,22.4
336,311,24.8
288,275,9
430,484,46
395,496,6
237,291,44.5
220,369,15
347,478,28
318,514,8.5
265,404,24.2
220,430,10.8
211,484,12.5
272,514,10.8
245,437,17
249,344,37.7
403,406,22.2
261,494,21.2
